No,TestSize,Precision,Recall,Accuracy,F1,Model
1,0.2,0.9965811965811966,0.9931856899488927,0.9940209267563528,0.9948805460750852,knn
2,0.2,0.6852286049237983,0.995741056218058,0.7299451918285998,0.8118055555555556,lr
3,0.2,0.9128491620111732,0.6959114139693356,0.7832585949177877,0.7897535041082648,lsvc
4,0.2,0.8664206642066421,1.0,0.9098156452416543,0.9284302095689996,svc
5,0.2,0.9982788296041308,0.9880749574105622,0.9920279023418037,0.9931506849315068,dt
6,0.2,1.0,1.0,1.0,1.0,rf
7,0.2,1.0,0.9991482112436116,0.9995017438963627,0.9995739241585002,gb
8,0.2,0.9002493765586035,0.6149914821124361,0.7349277528649726,0.7307692307692308,gnb
9,0.2,0.7758830694275274,0.5425894378194208,0.6407573492775287,0.63859649122807,bnb
10,0.2,0.8954937679769894,0.7955706984667802,0.8261086198305929,0.8425800631483986,mnb
11,0.2,0.862730627306273,0.995741056218058,0.9048330842052815,0.9244760775009885,lstm
12,0.2,0.5849526656701545,1.0,0.5849526656701545,0.7381326626846904,cnn
13,0.3,0.9925501432664756,0.9931192660550459,0.9916943521594684,0.9928346231011752,knn
14,0.3,0.676171875,0.992545871559633,0.720265780730897,0.8043680297397768,lr
15,0.3,0.9563794983642312,0.5028669724770642,0.6986710963455149,0.6591506952273581,lsvc
16,0.3,0.8633663366336634,1.0,0.9083056478405316,0.9266737513283742,svc
17,0.3,0.998840579710145,0.9879587155963303,0.992358803986711,0.9933698472182185,dt
18,0.3,1.0,0.9994266055045872,0.9996677740863787,0.9997132205334098,rf
19,0.3,1.0,0.9988532110091743,0.9993355481727575,0.9994262765347103,gb
20,0.3,0.9066115702479339,0.6290137614678899,0.7475083056478405,0.7427217332430603,gnb
21,0.3,0.7599351175993512,0.5372706422018348,0.6335548172757475,0.6294927779643937,bnb
22,0.3,0.8908268733850129,0.7907110091743119,0.8225913621262458,0.8377885783718104,mnb
23,0.3,0.8557312252964426,0.9931192660550459,0.8990033222591363,0.9193205944798302,lstm
24,0.3,0.5794019933554817,1.0,0.5794019933554817,0.7336979385780396,cnn
25,0.4,0.9944037882049075,0.9944037882049075,0.99352105656616,0.9944037882049075,knn
26,0.4,0.676159718144451,0.9913904433921653,0.7201594816845253,0.8039797521382439,lr
27,0.4,0.8733087330873309,0.9169177787343952,0.8749065537004734,0.8945821083578329,lsvc
28,0.4,0.8571955719557196,1.0,0.903563418888612,0.9231074905622889,svc
29,0.4,0.9991289198606271,0.9875161429186397,0.9922751059058061,0.9932885906040267,dt
30,0.4,1.0,1.0,1.0,1.0,rf
