Source IP,Destination IP,Protocol,Switch,P1,P2,P3,P4,P1 Rx Packet,P1 Tx Packet,P1 Rx Bytes,P1 Tx Bytes,P2 Rx Packet,P2 Tx Packet,P2 Rx Bytes,P2 Tx Bytes,P3 Rx Packet,P3 Tx Packet,P3 Rx Bytes,P3 Tx Bytes,P4 Rx Packet,P4 Tx Packet,P4 Rx Bytes,P4 Tx Bytes,Label
8,9,1,7,0,1,2,3,0,0,0,0,721,9687,53538,737194,734,9713,54756,739510,6371,5155,458813,386131,0
8,9,1,6,0,1,2,3,0,0,0,0,727,9697,54182,737102,728,9707,54252,737662,6352,5156,457178,386346,0
6,9,1,1,0,1,2,3,0,0,0,0,257810,160008,10997186579,10596168,6102,6786,458031,497589,155115,261487,10242014,10997497874,0
6,9,1,3,0,1,2,3,0,0,0,0,417979,162974,11002401450,10840628,720,9746,53888,741200,159868,256881,10580643,10997116875,0
6,9,1,2,0,1,2,3,0,0,0,0,256881,159868,10997116875,10580643,5148,6957,385668,496518,160008,257810,10596168,10997186579,0
6,9,1,5,0,1,2,3,0,0,0,0,5158,6356,386542,457458,5159,6377,386411,459289,6786,6102,497589,458031,0
6,9,1,4,0,1,2,3,0,0,0,0,726,10094,54140,759379,721,10097,53594,759161,6957,5148,496518,385668,0
6,9,1,7,0,1,2,3,0,0,0,0,722,9690,53636,737488,737,9718,54938,739888,6377,5159,459289,386411,0
6,9,1,6,0,1,2,3,0,0,0,0,727,9700,54182,737284,730,9711,54448,737942,6356,5158,457458,386542,0
7,9,1,1,0,1,2,3,0,0,0,0,257810,160008,10997186579,10596168,6106,6790,458423,497981,155119,261491,10242406,10997498266,0
7,9,1,3,0,1,2,3,0,0,0,0,417979,162974,11002401450,10840628,720,9746,53888,741200,159868,256881,10580643,10997116875,0
7,9,1,2,0,1,2,3,0,0,0,0,256881,159868,10997116875,10580643,5148,6957,385668,496518,160008,257810,10596168,10997186579,0
7,9,1,5,0,1,2,3,0,0,0,0,5159,6357,386640,457556,5162,6380,386705,459583,6790,6106,497981,458423,0
7,9,1,4,0,1,2,3,0,0,0,0,726,10094,54140,759379,721,10097,53594,759161,6957,5148,496518,385668,0
7,9,1,7,0,1,2,3,0,0,0,0,724,9692,53832,737684,738,9719,55036,739986,6380,5162,459583,386705,0
7,9,1,6,0,1,2,3,0,0,0,0,727,9700,54182,737284,731,9712,54546,738040,6357,5159,457556,386640,0
8,9,1,1,0,1,2,3,0,0,0,0,257810,160008,10997186579,10596168,6112,6796,459011,498569,155125,261497,10242994,10997498854,0
8,9,1,3,0,1,2,3,0,0,0,0,417979,162974,11002401450,10840628,720,9746,53888,741200,159868,256881,10580643,10997116875,0
8,9,1,2,0,1,2,3,0,0,0,0,256881,159868,10997116875,10580643,5148,6957,385668,496518,160008,257810,10596168,10997186579,0
8,9,1,5,0,1,2,3,0,0,0,0,5162,6360,386934,457850,5165,6385,386999,460073,6796,6112,498569,459011,0
8,9,1,4,0,1,2,3,0,0,0,0,726,10094,54140,759379,721,10097,53594,759161,6957,5148,496518,385668,0
8,9,1,7,0,1,2,3,0,0,0,0,725,9695,53930,737978,740,9723,55232,740378,6385,5165,460073,386999,0
8,9,1,6,0,1,2,3,0,0,0,0,729,9702,54378,737480,732,9713,54644,738138,6360,5162,457850,386934,0
6,9,1,1,0,1,2,3,0,0,0,0,257810,160008,10997186579,10596168,6117,6801,459501,499059,155130,261502,10243484,10997499344,0
6,9,1,3,0,1,2,3,0,0,0,0,417979,162974,11002401450,10840628,720,9746,53888,741200,159868,256881,10580643,10997116875,0
6,9,1,2,0,1,2,3,0,0,0,0,256881,159868,10997116875,10580643,5148,6957,385668,496518,160008,257810,10596168,10997186579,0
6,9,1,5,0,1,2,3,0,0,0,0,5165,6363,387228,458144,5167,6387,387195,460269,6801,6117,499059,459501,0
6,9,1,4,0,1,2,3,0,0,0,0,726,10094,54140,759379,721,10097,53594,759161,6957,5148,496518,385668,0
6,9,1,7,0,1,2,3,0,0,0,0,726,9696,54028,738076,741,9724,55330,740476,6387,5167,460269,387195,0
6,9,1,6,0,1,2,3,0,0,0,0,730,9703,54476,737578,734,9715,54840,738334,6363,5165,458144,387228,0
4,9,1,1,0,1,2,3,0,0,0,0,257812,160010,10997186775,10596364,6123,6807,459977,499535,155138,261510,10244156,10997500016,0
4,9,1,3,0,1,2,3,0,0,0,0,417979,162975,11002401450,10840726,720,9747,53888,741298,159869,256881,10580741,10997116875,0
4,9,1,2,0,1,2,3,0,0,0,0,256881,159869,10997116875,10580741,5150,6959,385864,496714,160010,257812,10596364,10997186775,0
4,9,1,5,0,1,2,3,0,0,0,0,5169,6367,387508,458424,5169,6391,387391,460549,6807,6123,499535,459977,0
4,9,1,4,0,1,2,3,0,0,0,0,726,10094,54140,759379,723,10099,53790,759357,6959,5150,496714,385864,0
4,9,1,7,0,1,2,3,0,0,0,0,727,9699,54126,738258,742,9727,55428,740658,6391,5169,460549,387391,0
4,9,1,6,0,1,2,3,0,0,0,0,731,9704,54574,737676,737,9718,55022,738516,6367,5169,458424,387508,0
